iter	TotalF1	MultiClass
226	0.5632106765	1.017419644
227	0.5633084831	1.01718634
228	0.5635180354	1.016984683
229	0.5637000279	1.016832176
230	0.5636794525	1.016690033
231	0.5635953714	1.016428997
232	0.5637166113	1.016200108
233	0.564282518	1.015810025
234	0.5644106798	1.015523851
235	0.5643013175	1.015353448
236	0.564507558	1.015171756
237	0.5647679343	1.015015645
238	0.5649040012	1.014704321
239	0.5649666357	1.014523556
240	0.5650062375	1.014289965
241	0.5649914468	1.014168301
242	0.5650077745	1.014004781
243	0.5650589249	1.013761985
244	0.5652428564	1.013532157
245	0.5653199022	1.013417253
246	0.5654175953	1.013307196
247	0.5654772796	1.013191881
248	0.5656011156	1.013097842
249	0.5655338254	1.012933396
250	0.5655786133	1.012818321
251	0.5655632871	1.012771703
252	0.5656696491	1.012638553
253	0.5656181256	1.012348856
254	0.5657108566	1.012016229
255	0.566028089	1.011810559
256	0.5662599305	1.011527968
257	0.5661013852	1.011284017
258	0.5663997444	1.011032652
259	0.5663984339	1.010750164
260	0.5664620804	1.010452477
261	0.5664018055	1.010362478
262	0.5665293125	1.010039806
263	0.5666163218	1.009840958
264	0.5669498012	1.00947381
265	0.5669112713	1.009366785
266	0.5668693662	1.009228782
267	0.5672029092	1.00904316
268	0.5673443702	1.008777433
269	0.5674574005	1.008652355
270	0.5674872931	1.008624257
271	0.567624742	1.008441366
272	0.5678608693	1.008280368
273	0.5678835102	1.008085367
274	0.5679532565	1.007777399
275	0.5679868885	1.007613917
276	0.5681398972	1.00728321
277	0.5681987488	1.007136845
278	0.5682214496	1.007062914
279	0.5683771959	1.006910154
280	0.5684200302	1.006778735
281	0.5684089115	1.006593014
282	0.5687014404	1.006431665
283	0.56876449	1.006315721
284	0.5688743764	1.006121721
285	0.5690565083	1.00598325
286	0.5691351185	1.005771837
287	0.5692818706	1.005594846
288	0.5693952343	1.005457248
289	0.5694728159	1.005366226
290	0.5694079106	1.00524187
291	0.5695056414	1.005143168
292	0.5694291515	1.005089512
293	0.5693742434	1.005053549
294	0.5696123796	1.004705011
295	0.5698186779	1.004573142
296	0.5698609706	1.00452713
297	0.5699285606	1.004449013
298	0.5699103971	1.004380622
299	0.5699683583	1.004254617
300	0.5702319789	1.00407678
301	0.5702903693	1.003889671
302	0.5704022394	1.003781855
303	0.5705194391	1.003652469
