iter	Passed	Remaining
399	106181	26545
400	106432	26276
401	106635	25995
402	106881	25725
403	107138	25458
404	107382	25188
405	107619	24916
406	107899	24655
407	108172	24391
408	108433	24125
409	108690	23858
410	108941	23590
411	109187	23321
412	109443	23054
413	109655	22778
414	109909	22511
415	110141	22240
416	110400	21974
417	110659	21708
418	110949	21448
419	111194	21179
420	111425	20908
421	111682	20642
422	111946	20377
423	112215	20114
424	112465	19846
425	112699	19576
426	112950	19310
427	113195	19042
428	113458	18777
429	113724	18513
430	113967	18245
431	114188	17974
432	114442	17708
433	114697	17442
434	114982	17181
435	115245	16916
436	115451	16644
437	115738	16383
438	115999	16118
439	116281	15856
440	116536	15591
441	116786	15324
442	117048	15060
443	117281	14792
444	117536	14526
445	117786	14261
446	118029	13994
447	118292	13730
448	118538	13464
449	118812	13201
450	119149	12945
451	119421	12681
452	119664	12415
453	119938	12152
454	120206	11888
455	120474	11624
456	120727	11359
457	120992	11095
458	121183	10824
459	121449	10560
460	121743	10299
461	122015	10035
462	122296	9773
463	122575	9510
464	122839	9245
465	123141	8984
466	123488	8726
467	123733	8460
468	124074	8201
469	124391	7939
470	124732	7679
471	125149	7424
472	125450	7161
473	125806	6900
474	126116	6637
475	126386	6372
476	126653	6106
477	126928	5841
478	127176	5575
479	127419	5309
480	127685	5043
481	127896	4776
482	128165	4510
483	128435	4245
484	128686	3980
485	128970	3715
486	129239	3449
487	129538	3185
488	129788	2919
489	130059	2654
490	130307	2388
491	130567	2123
492	130814	1857
493	131077	1592
494	131367	1326
495	131632	1061
496	131899	796
497	132185	530
498	132482	265
499	132761	0
